Simbol,Descriere
D9,*O10r*O13r*T7r*T8r*T11r*T12r*T3r*T1r*T24r
D9,*O10e*O13e*T7e*T8e*T11e*T12e*T3e*T1e*T24r
D9,*O10e*O13e*T7e*T8e*T11e*T12e*T3e*T1r
D9,*O10e*O13e*T7e*T8e*T11e*T12e*T3r
D9,*O10e*O13e*T7e*T8e*T11e*T12r
D9,*O10e*O13e*T7e*T8e*T11r
D9,*O10e*O13e*T7e*T8r
D9,*O10e*O13e*T7r
D9,*O10r*O13r*T7e*T8e*T11e*T12e*T3e*T1e*T24r
D9,*O10r*O13r*T7e*T8e*T11e*T12e*T3e*T1r
D9,*O10r*O13r*T7e*T8e*T11e*T12e*T3r
D9,*O10r*O13r*T7e*T8e*T11e*T12r
D9,*O10r*O13r*T7e*T8e*T11r
D9,*O10r*O13r*T7e*T8r
D9,*O10r*O13r*T7r
D9,*T7e*T8e*T11e*T12e*T3r*T1r*T24r
D9,*T7e*T8e*T11r*T12r
D9,*T7e*T8e*T11r
D9,*T7r*T8r*T11r
D9,*T11r
D9,*T12r
