Simbol,Descriere
D11,*O11r*O12r*O13r*O14r*T9r*T10r*T2r*T3r*T1r*T24r
D11,*O11r*O12r*O13r*O14r*T9r*T10r*T2r*T3r*T1r
D11,*O11r*O12r*O13r*O14r*T9r*T10r*T2r*T3r
D11,*O11r*O12r*O13r*O14r*T9r*T10r*T2r
D11,* T9e*T10e*T2e*T3e*T1e*T24r
D11,* T9e*T10e*T2e*T3e*T1r
D11,* T9e*T10e*T2e*T3e*T1r*T24r
D11,* T9e*T10e*T2e*T3r*T1r
D11,* T9e*T10e*T2r
D11,* T9e*T10e*T2r*T3r
D11,* T9e*T10r
D11,* T9r*T10r
D11,*O11r*O12r*O13r*O14r*T10r
D11,*O11e*O12e*O13e*O14e*T10r
D11,*O11r*O12e*O13e*O14e*T10r
D11,*O11e*O12e*O13r*O14r*T10r
D11,*O11r *T10r
