Simbol,Descriere
D12,*T10e*O13e*O14e*O15e*T3e*T1e*T24e
D12,*T10e*O13e*O14e*O15e*T3e*T1e*T24r
D12,*T10e*O13e*O14e*O15e*T3e*T1r
D12,*T10e*O13e*O14e*O15e*T3r
D12,*T10e*O13e*O14e*O15r
D12,*T10r*O13r*O14r*O15r*T3r*T1r*T24e
D12,*T10r*O13r*O14r*O15r*T3r*T1e*T24r
D12,*T10r*O13r*O14r*O15r*T3e*T1r*T24r
D12,*T10r*O13r*O14r*O15r*T3r*T1r*T24r
D12,*T10r
D12, *O13r*O14r*O15r* T10e *T3r*T1r
D12, *O13r*O14r*O15r* T10e *T3r
D12, *O13r*O14r*O15r* T10r
D12, *O13e*O14e*O15r* T10e *T3r*T1r
D12, *O13e*O14e*O15r* T10r
