Simbol,Descriere
D10,*O10r*O13r*O14r*O16r*T8r*T12r*T13r*T3r*T1r*T24r
D10,*O10r*O13r*O14r*O16r*T8r*T12r*T13r*T3r*T1r
D10,*O10r*O13r*O14r*O16r*T8r*T12r*T13r*T3r
D10,*O10r*O13r*O14r*O16r*T8r*T12r*T13r
D10,*O10r*O13r*O14r*O16r*T8r*T12r
D10,*O10r*O13r*O14r*O16r*T8r
D10,*T8e*T12e*T13e*T3e*T1e*T24r
D10,*T8e*T12e*T13e*T3e*T1r*T24r
D10,*T8e*T12e*T13e*T3e*T1r
D10,*T8e*T12e*T13e*T3r
D10,*T8e*T12e*T13r
D10,*T8e*T12r*T13r
D10,*T8r*T12r
D10,*O10e*O13e*O14e*O16e*T8e*T12e*T13e*T3r*T1r*T24r
D10,*O10e*O13e*O14e*O16e*T8e*T12e*T13r
D10,*O10e*O13e*O14e*O16e*T8e*T12r*T13r
D10,*O10e*O13e*O14e*O16e*T8r*T12r
D10,*O10e *O16e*T8r*T12r
D10,*T8r*T12r
D10,*T13r
D10,*T12r
