Simbol,Descriere
D14,*O5e*T20e*T23e
D14,*O5e *T19e*T20e*T23e
D14,*T17e*T18e*T19e*T20e*T23e
D14,*T17e*T18e*T19e*T20e*T21e*T23e
D14,*T17r*T18e*T19e*T20e*T21r*T23e
D14,*T17r*T18r*T19e*T20e*T21e*T23r
D14,*T17e*T18r*T19e*T20e*T21r*T23r
D14,*O5e *T17e*T18e*T19e*T20e*T21e*T23r
D14,*T17e*T18e*T19e*T20e*T21r
D14,*T17r*T18r*T19e*T20e*T21r *T23r
D14,*T17e*T18e*T19r*T20r *T23r
D14,*O5e *T17e*T18e*T19r*T20r 
D14,*O5e *T17e*T18e*T19r
D14,*T17r*T21r
D14,*O5r
D14,*O5r *T17e*T18e*T19e*T20e*T21e*T23e
D14,*O5e *T17e*T18e*T19e*T20e*T21e*T23e
D14,*O5r*T24r*T1r*T3r
D14,*O5e*T24e*T1e*T3e *T17e*T18e*T19e*T20e*T21e*T23e
D14,*O5e*T24r
D14,*O5e*T24e*T1r
D14,*O5e*T24e*T1e * T23e*T18r
D14,*O5e*T24e*T1e * T23e
