Simbol,Descriere
D15,*T17e*T18e*T19e*T20e*T21e *T23e*T3e*T1e*T24e
D15,*T17r*T18e*T19e*T20e*T21e*T23e*T3e*T1e* T24r
D15,*T17r*T18e*T19e*T20e*T21r*T23e*T3e*T1e
D15,*T17r*T18r*T19e*T20e*T21r*T23r
D15,*T17e*T18e*T19e*T20e*T21e*T23e*T3e*T1r
D15,*T17e*T18e*T19e*T20e*T21e*T23e*T3r*T1r
D15,*T17e*T18r*T19r*T20r*T21e*T23r*T3r*T1r
D15,*T17e*T18r*T19e*T20e*T21e*T23e
D15,*T18e *T23r
D15,*T17r*T18e*T19e*T20e*T21e
D15,*T17e*T18e*T19r
D15,*T17r*T18r*T19r*T20r
D15,*T17r*T18r* T20r
D15,*T17r *T21r 
D15,*T17e*T18r*T19e*T20e*T21e *T23e*T3e*T1r
D15,*T17e*T18r*T19e*T20e*T21e *T23e*T3r*T1r
